date,day_of_week,planning_streak,phase,task_number,is_backlog,backlog_id,task_description,expected_difficulty,expected_motivation,complete_or_not,reason_task_outcome,mood_before,mood_after
03/02/2026,Tuesday,35,4,1,No,,Continue SQL competition,4,5,Yes,Boosted myself,3,3
03/02/2026,Tuesday,35,4,2,No,,Better application internship,4,5,Yes,Edited my resume,3,3
03/02/2026,Tuesday,35,4,3,No,,Thesis documents,3,5,Yes,Prepared and edited documents for compliance,3,3
03/02/2026,Tuesday,35,4,4,No,,Update and connect to KKB NU,4,5,Yes,Encouraged the group,3,3
04/02/2026,Wednesday,36,4,1,Yes,B16,Finish the Datacamp Associate Data Scientist in Python,5,5,No,Lack of time,4,3
04/02/2026,Wednesday,36,4,2,No,,Datacamp progress,4,4,Yes,Continued the track and learning,4,3
04/02/2026,Wednesday,36,4,3,No,,Slow walks and dine out,3,4,Yes,Walked long kilometers and explored,4,3
04/02/2026,Wednesday,36,4,4,No,,Arrange data in order,4,4,Yes,ML commitment,4,3
05/02/2026,Thursday,37,4,1,No,,Apply more internships,4,5,Yes,Added Indeed applications,4,4
05/02/2026,Thursday,37,4,2,No,,Meet with Ate Queenie,3,4,Yes,Talked about concerns,4,4
05/02/2026,Thursday,37,4,3,No,,Finish SQL Competition,4,5,Yes,Finished it gladly,4,4
05/02/2026,Thursday,37,4,4,No,,Revision of resume,5,4,Yes,Added a few information,4,4
06/02/2026,Friday,38,4,1,No,,Quality meet with Ate Shelah,4,4,Yes,Met for life update,4,4
06/02/2026,Friday,38,4,2,No,,Process Thesis signing at NU,4,4,Yes,Document processing,4,4
06/02/2026,Friday,38,4,3,No,,Take note of important information,4,4,Yes,Took additional infor to be passed,4,4
06/02/2026,Friday,38,4,4,No,,Do the remaining Appendices part,4,4,Yes,Added this part in our Thesis,4,4
07/02/2026,Saturday,39,4,1,No,,Finalization of Thesis paper,4,5,Yes,Long hours to accomplish,4,5
07/02/2026,Saturday,39,4,2,No,,Submit Thesis paper,4,5,Yes,Today's the deadline,4,5
07/02/2026,Saturday,39,4,3,No,,Pass document for Financial Assistance ,4,5,Yes,For additional finance,4,5
07/02/2026,Saturday,39,4,4,No,,Walk with nature,3,4,Yes,Took a walk to clear mind,4,5
